# Start logging at 2023-07-19 10:33:46 CDT
[10:33:46] disconnected
[10:33:46] Wednesday, July 19, 2023
[10:33:51] Message history service recovering, there may be gaps in the message history.
# Start logging at 2023-07-19 14:16:51 CDT
[14:16:51] connected
[15:52:21] Redbeardy_McGee is live!
[15:52:57]  captainfalcum: what the heck
[15:53:22]  captainfalcum: Bustin
[15:56:58]  dr0gulus: holy
[15:58:12]  bunhara: gt this stupid fucking game off my screen
[15:58:35]  sparklecrotchthottie: idanDance  perfect idanDance  beard idanDance  preservation idanDance
[15:59:04]  sparklecrotchthottie: : l
[15:59:06]  sparklecrotchthottie: hell0
[15:59:19]  captainfalcum: anyone bustin
[15:59:27]  captainfalcum: LUL
[15:59:34]  sparklecrotchthottie: pre
[15:59:41]  sparklecrotchthottie: rec0rded
[15:59:45]  bunhara: Bustin
[15:59:56]  stepnine: hello
[15:59:59]  sparklecrotchthottie: hell0 beardy AI
[16:00:13]  captainfalcum: first stream
[16:00:16]  bunhara: what are you doing, stepnine flushedW
[16:00:19]  kurol__: You will say my name right
[16:00:19]  sparklecrotchthottie: get exposed *gulps*
[16:00:29]  stepnine: you have a lot of hours
[16:00:33]  stepnine: I miss DonLegand
[16:00:38]  kurol__: Hell o
[16:00:38]  stepnine: any idea where he went
[16:00:50]  bunhara: !sr snake eater
[16:00:51]  nightbot: @Bunhara -> "Snake Eater" by Various Artists - Topic has been added to the queue in position #1
[16:00:55]  sparklecrotchthottie: delete them all
[16:00:57]  sparklecrotchthottie: now
[16:02:22]  sparklecrotchthottie: dont clickbait me
[16:02:29]  bunhara: dont clickbait me
[16:02:40]  stepnine: I got Eternal ONe without any cheating
[16:02:50]  bunhara: its working
[16:02:51]  stepnine: its working
[16:02:53]  sparklecrotchthottie: ITS WORKING
[16:02:56]  sparklecrotchthottie: ITS UM
[16:02:57]  sparklecrotchthottie: ITS WORKING
[16:03:00]  sparklecrotchthottie: I THINK ITS WORKING
[16:03:08]  bunhara: i got eternal one while only technically cheating
[16:03:10]  captainfalcum: ok
[16:03:29]  bunhara: playing with mods but with the achievement unlocker
[16:03:32]  stepnine: no mods eternal one
[16:03:36]  bunhara: but not any like, actual content mods
[16:03:36]  sparklecrotchthottie: https://www.youtube.com/watch?v=jGK39dEqA2U
[16:03:38]  sparklecrotchthottie: mod me
[16:03:40]  stepnine: it took a LONG time
[16:04:13]  stepnine: as I recall you are good with grand finale and draw decks
[16:04:19]  bunhara: you have 5 strikes, 4 defends, a bash and an ascendeers bane
[16:04:25]  bunhara: thus confirming slay the relics is working
[16:04:40]  bunhara: yeah
[16:04:47]  stepnine: yes we see it it is set right
[16:05:10]  bunhara: its actually very 1:1
[16:05:33]  bunhara: now we need vm to implement the fucking map
[16:05:37]  bunhara: the lazy bastard
[16:05:57]  bunhara: I have no idea GIGACHAD
[16:06:20]  moribund: card game
[16:06:24]  moribund: FeelsBeardMan
[16:06:25]  sparklecrotchthottie: frustrating
[16:06:27]  sparklecrotchthottie: sogging
[16:06:30]  bunhara: ted moribundy
[16:06:35]  captainfalcum: PrideUwu
[16:06:41]  moribund: monkaGIGA
[16:06:50]  bunhara: ah, of course
[16:06:54]  bunhara: i always get the confused
[16:07:01]  moribund: ask your grandparents if you don't know who Al Bundy is
[16:07:04]  sparklecrotchthottie: AL SparkleCrotchThottie Capone
[16:07:27]  sparklecrotchthottie: COMMONALITY
[16:07:49]  moribund: little stuttery
[16:08:02]  bunhara: IGNORE IT
[16:08:09]  bunhara: XECNORE IT
[16:08:11]  sparklecrotchthottie: L'gwardian airport
[16:08:16]  sparklecrotchthottie: : l
[16:08:17]  stepnine: the punk music makes up for it
[16:08:26]  bunhara: !sr somethin to ride to
[16:08:26]  nightbot: @Bunhara -> "Conscious Daughters - Something to Ride To (Fonky Expedition) (Original Version)" by squawcmg has been added to the queue in position #1
[16:08:49]  bunhara: !sr as you like yakuza 0
[16:08:49]  nightbot: @Bunhara -> "Yakuza 0 OST - 25 As You Like" by KuroKazuma has been added to the queue in position #2
[16:09:05]  sparklecrotchthottie: !sr https://www.youtube.com/watch?v=jGK39dEqA2U
[16:09:05]  nightbot: @SparkleCrotchThottie -> There was an error requesting the song. Error: video too short (30 sec min)
[16:09:08]  sparklecrotchthottie: CRING
[16:09:11]  bunhara: you fucking idiot
[16:09:18]  sparklecrotchthottie: you nightbot areCRING
[16:09:25]  stepnine: !sr Turn the Tide by Sylver
[16:09:26]  nightbot: @stepnine -> "Sylver - Turn The Tide (Official Music Video)" by Byte Records has been added to the queue in position #3
[16:09:41]  sparklecrotchthottie: i just shitposted
[16:10:04]  bunhara: WIDECATJAM
[16:10:04]  nightbot: WARNING: This emote is unlisted. Either it hasn't yet been confirmed by a moderator, or the moderation team chose not to confirm this emote. As a result, we cannot guarantee it is safe to show on a livestream.
[16:10:04]  sparklecrotchthottie: im boned zoned
[16:10:15]  bunhara: putinWalkWIDE
[16:10:19]  captainfalcum: WIDECATJAM
[16:10:27]  sparklecrotchthottie: putinWalk
[16:10:31]  bunhara: putinWalk
[16:11:23]  bunhara: redbea13StickL redbea13Cultist redbea13StickR
[16:12:22]  sparklecrotchthottie: your fighting oppenheimer
[16:12:32]  sparklecrotchthottie: B00T
[16:12:58]  moribund: Boot will single-handedly kill Jaw Worm
[16:13:04]  bunhara: !sr smooth operator sade
[16:13:05]  nightbot: @Bunhara -> "Sade - Smooth Operator (Lyrics)" by 7clouds has been added to the queue in position #6
[16:13:24]  bunhara: !sr rude magic
[16:13:25]  nightbot: @Bunhara -> "MAGIC! - Rude (Lyrics)" by 7clouds has been added to the queue in position #7
[16:13:43]  bunhara: !sr 9 to 5 dolly Parton
[16:13:44]  nightbot: @Bunhara -> "9 to 5" by Dolly Parton - Topic has been added to the queue in position #8
[16:13:50]  bunhara: !sr zombie cranberries
[16:13:51]  nightbot: @Bunhara -> "Zombie - The Cranberries (Lyrics) 🎵" by Pillow has been added to the queue in position #8
[16:14:48]  bunhara: !sr jamming bob marley
[16:14:49]  nightbot: @Bunhara -> "Bob Marley Jammin" by Marco Caína has been added to the queue in position #9
[16:14:59]  bunhara: !sr good good love rapsody
[16:15:00]  nightbot: @Bunhara -> "Rapsody - Good Good Love (ft. BJ The Chicago Kid) [prod. 9th Wonder]" by Eleve8TheGame has been added to the queue in position #10
[16:15:03]  kurol__: !songs current
[16:15:09]  bunhara: alright time to go do the dishes
[16:15:12]  bunhara: !currentsong
[16:15:13]  nightbot: @Bunhara -> "Yakuza 0 OST - 25 As You Like" by KuroKazuma is the current song. It was requested by Bunhara - https://youtu.be/q7gzFBnfRfo
[16:15:15]  bunhara: idiot
[16:15:17]  kurol__: Bunhara
[16:15:21]  kurol__: Fucking weeb
[16:16:45]  apneaa: who the fuck is this guy
[16:16:50]  apneaa: bready?
[16:16:52]  sparklecrotchthottie: NOBAYRS
[16:16:54]  apneaa: as in bread?
[16:17:27]  leprochauninja: holy
[16:17:31]  leprochauninja: the beardy stream
[16:18:18]  stepnine: is there a reason you are slumming it at A0?
[16:18:37]  stepnine: oh sorry
[16:18:40]  leprochauninja: A(2)0
[16:18:44]  stepnine: how did you reset and keep a20?
[16:18:55]  leprochauninja: hacks
[16:19:02]  stepnine: i thought you deleted at the beginning
[16:19:11]  stepnine: all your profiles
[16:19:56]  apneaa: i deleted all my run histories
[16:20:00]  apneaa: for the xecnar files
[16:20:27]  apneaa: why move them when i can delete them?
[16:20:30]  apneaa: NOBAYRS
[16:20:52]  leprochauninja: saving them is a coward thought
[16:20:55]  apneaa: i know whats in there, i remember every run monkaS it's not like there was much to begin win
[16:22:02]  apneaa: beardy while you were gone i finished the coach adventure, i streamed a total of 250 coach vods monkaS
[16:22:30]  apneaa: a lot
[16:22:31]  apneaa: massive
[16:22:42]  apneaa: i cant even begin
[16:22:48]  apneaa: i dont have nothing to deliver
[16:22:51]  apneaa: because one thing happened
[16:22:55]  apneaa: xecnar started playing clad
[16:23:05]  apneaa: and then all of a sudden i had nothing to do with clad anymore
[16:23:58]  apneaa: i wanted someone to go beyond coach because i knew clad had some more ambitions in him
[16:24:02]  apneaa: xec did that
[16:24:20]  apneaa: turn out if you dont throw with clad and you are a perfect player
[16:24:26]  apneaa: hitting a 90 in a sample
[16:24:29]  apneaa: is already doable
[16:25:00]  simont14: !pronouns
[16:25:00]  nightbot: Automatically share your pronouns as a chat badge: https://pronouns.alejo.io/ -- Don't forget the extension for Firefox (https://pronouns.alejo.io/firefox) or Chrome (https://pronouns.alejo.io/chrome)!
[16:25:26]  apneaa: then i did an analysis of xecnar 100 and compared it to coach last 100 with a few stats
[16:25:57]  apneaa: xecnar didnt do 90 but if you take his sample and you remove the throws it's 90 already
[16:26:02]  apneaa: so 90 is already doable
[16:26:11]  apneaa: not even talking that above 90 is also doable
[16:27:30]  apneaa: so yeah i'm done with clad, i figured it out
[16:27:34]  apneaa: the secret with clad is
[16:27:38]  apneaa: "do what xecnar is doing"
[16:27:48]  apneaa: because he's got it pretty good
[16:28:02]  apneaa: pitor acompagnied me a lot near the end
[16:28:37]  apneaa: i got some fairly recurring viewcount near the end
[16:28:57]  apneaa: i had like 4 chatters for the last 50
[16:29:05]  apneaa: everyone was just missing LC
[16:29:12]  apneaa: peoples were happy to just hear his voice
[16:29:16]  apneaa: i missed you too buddy
[16:29:26]  apneaa: TakeNRG
[16:29:38]  kurol__: I dont miss you Beardy
[16:29:54]  kurol__: ok maybe a little
[16:29:54]  apneaa: bravo kuor
[16:30:06]  apneaa: beardy one thing has not changed since you left
[16:30:11]  apneaa: kuro still doesn't go live
[16:30:14]  apneaa: dkShame
[16:30:17]  kurol__: Woah
[16:30:24]  kurol__: Something is just a constant
[16:30:52]  apneaa: @Redbeardy_McGee did you catch anything about the LC merl thingie?
[16:31:04]  apneaa: basicly were gonna have a watcher player with a jester hat
[16:31:11]  apneaa: proclaiming the other as king of watcher
[16:31:15]  apneaa: once one hit 50
[16:31:33]  apneaa: yes
[16:31:40]  apneaa: it started with just LC
[16:31:45]  apneaa: but merl showed up
[16:31:51]  apneaa: and LC couldn't resit
[16:31:53]  leprochauninja: it's okay
[16:31:55]  apneaa: giving him a challenge
[16:32:00]  leprochauninja: I didn't forget about you beardy
[16:32:01]  apneaa: merl went pretty high but died
[16:32:04]  apneaa: back to 0
[16:32:45]  apneaa: other news
[16:32:49]  apneaa: we got navegreed now
[16:32:59]  apneaa: the biggest current potential at breaking the rotating streak
[16:33:20]  apneaa: yes
[16:33:22]  apneaa: actual rotating
[16:33:25]  apneaa: OH
[16:33:33]  apneaa: papa is doing rgbw
[16:33:36]  apneaa: only money
[16:33:36]  kurol__: Well xecnar should play some rotating near future
[16:33:39]  apneaa: is doing rgb
[16:33:45]  kurol__: So there is that
[16:33:46]  apneaa: i dont think it's fair btw
[16:33:54]  apneaa: LUL
[16:33:59]  apneaa: it's so much harder for money
[16:34:02]  apneaa: at 18rgb
[16:34:11]  kurol__: After his billion silent / defect sample
[16:34:19]  apneaa: xecnar want
[16:34:23]  apneaa: 150 more defect
[16:34:26]  apneaa: 100 silent
[16:34:29]  apneaa: and then rotating
[16:34:34]  apneaa: he is almost done with his current ones
[16:35:04]  apneaa: he will finish his current samples and then do 100 silent more
[16:35:07]  apneaa: do 50 defect swaps
[16:35:08]  kurol__: I mean I dont know
[16:35:12]  apneaa: (he has not swapped once)
[16:35:15]  kurol__: I dont count really
[16:35:17]  apneaa: and then a 100 defect
[16:35:22]  apneaa: he's close
[16:35:24]  apneaa: @KuroL__
[16:35:37]  kurol__: This Silent is probably going to be less than 80%
[16:35:51]  kurol__: The guy is trying out some silent stuff
[16:35:57]  apneaa: he has changed his macro
[16:36:00]  apneaa: the start was rough
[16:36:02]  apneaa: both rng wise
[16:36:06]  apneaa: and adapting to macro
[16:36:33]  apneaa: but now he's figured it out mostly
[16:36:48]  apneaa: notably he has figured out how to get amid every run since a week
[16:36:51]  apneaa: it's been good
[16:36:53]  apneaa: :D
[16:37:50]  moribund: 10 = 12
[16:39:05]  apneaa: oh beardy
[16:39:09]  apneaa: xec got killed by wheel
[16:39:24]  apneaa: and byron found out
[16:39:27]  apneaa: in the changelogs
[16:39:31]  apneaa: that for a little while
[16:39:35]  apneaa: you could skip wheel
[16:39:39]  apneaa: Kreygasm
[16:39:41]  cacastou: oh, long time no see
[16:39:57]  apneaa: they removed the skip
[16:40:01]  apneaa: there was an option
[16:40:02]  apneaa: to skip it
[16:40:08]  apneaa: they purposefully
[16:40:08]  apneaa: removed it
[16:40:25]  apneaa: byron and vms made a mod
[16:40:29]  apneaa: called ancient enemies
[16:40:33]  cheesesticks55: Hey there
[16:40:34]  apneaa: it bring back old patterns and enemies
[16:40:43]  apneaa: byron found a lot of hidden stuff
