# Start logging at 2023-07-27 09:10:32 CDT
[09:10:32] connected
[09:16:00]  moribund: FeelsBeardMan
[09:16:02] Redbeardy_McGee is live!
[09:16:08]  moribund: ads FeelsBadMan
[09:16:51]  moribund: stream FeelsGoodMan
[09:17:04]  captainfalcum: beerd
[09:17:37]  moribund: cum
[09:19:09]  surrealistic_ganerson: Give up your SOUL
[09:19:11]  moribund: pchWave
[09:19:15]  a_snail_chosen_at_random: 2-1-1=0 not 3
[09:19:28]  a_snail_chosen_at_random: hullo beardy
[09:20:17]  surrealistic_ganerson: Are you feeling ok beardy?
[09:20:48]  surrealistic_ganerson: I thought something might be up with the voice, but I'm not 100% sure
[09:21:10]  moribund: too much beard covering the mouth
[09:21:47]  surrealistic_ganerson: Tell the alien controlling you to tweak the voice a bit, that'll help
[09:22:54]  surrealistic_ganerson: Also, are we supposed to be musicless?
[09:23:44]  justzul: Oh crap I didn't see you were on
[09:23:46]  surrealistic_ganerson: There it is
[09:23:49]  moribund: moneym59JAM
[09:24:40]  surrealistic_ganerson: program's are weirding on their own sometimes, that's just how it goes
[09:25:10]  truesque: hellof5Flower
[09:25:13]  truesque: Kil
[09:25:38]  surrealistic_ganerson: I mean, everyone has to play only watcher. Other character's are not it
[09:25:48]  truesque: Expert monkaS
[09:26:26]  justzul: Biased Cognition IRL
[09:26:40]  surrealistic_ganerson: I love OP characters, that's what 10+ years of pvp games does to you
[09:27:14]  truesque: Watcher came out after I only had ironclad to a20 and was struggling on silent defect, and she was super easy to get a20 very quick and I just lost interest for a long time
[09:27:43]  truesque: Just spire
[09:28:00]  surrealistic_ganerson: CS is a good game, but then it started getting full on infested with cheaters
[09:28:57]  surrealistic_ganerson: Yeah, now any game has way more cheaters, I guess this stuff became more available
[09:30:05]  truesque: Ouch
[09:30:22]  truesque: Zero cost archetype
[09:30:26]  captainfalcum: zero
[09:30:29]  surrealistic_ganerson: I could talk about cheats for days, because they're the nightmare of a competitive person
[09:30:33]  truesque: Force field with turbo KomodoHype
[09:31:40]  truesque: Ouch
[09:32:26]  nerdbusta1: see glacier click glacier
[09:32:29]  truesque: Ultra
