# Start logging at 2023-07-28 09:16:13 CDT
[09:16:13] disconnected
[09:16:13] Friday, July 28, 2023
[09:16:13] Server connection timed out, reconnecting
[09:16:15] connected
# Start logging at 2023-07-28 09:32:11 CDT
[09:32:11] connected
[09:36:10] Redbeardy_McGee is live!
[09:36:26]  moribund: FeelsBeardMan
[09:37:32]  moribund: pchWave
[09:39:07]  captainnoobzor: im so slain
[09:39:20]  moneymoneyloot: the beard
[09:40:00]  captainnoobzor: waking up before noon is a frying experience
[09:40:14]  moneymoneyloot: I think beardy is an underrated streamer. he talks to chat for longer than he plays the actual run and wins every single time
[09:40:31]  captainnoobzor: moneymoneyloot: I think beardy is an underrated streamer. he talks to chat for longer than he plays the actual run and wins every single time
[09:41:17]  captainnoobzor: well i fixed my sleep schedule last week
[09:41:23]  captainnoobzor: and yesterday i woke up at 5pm
[09:41:30]  moneymoneyloot: that was a fun hog defect run
[09:41:34]  moneymoneyloot: first relic courier
[09:42:21]  moneymoneyloot: idk I went 4/2 on defect today so I think I had a breakthrough
[09:42:24]  moneymoneyloot: basically mastered
[09:42:54]  moneymoneyloot: I've never seen redbeardy win a run
[09:42:56]  moneymoneyloot: i mean lose
[09:42:57]  moneymoneyloot: shit
[09:43:00]  moneymoneyloot: i need bed
[09:43:18]  moneymoneyloot: I've never seen redbeardy lose a run
[09:43:36]  captainnoobzor: the only whiff is the part where you take 15
[09:44:09]  captainnoobzor: the worst card you can possibly get is probably envenom
[09:45:19]  moneymoneyloot: captain noobzor hates common relic
[09:45:26]  moneymoneyloot: he clicks choose a card instead
[09:45:40]  moneymoneyloot: im jk he claims he likes it
[09:46:03]  captainnoobzor: i love common relic
[09:47:55]  moneymoneyloot: apneaas tea set
[09:48:09]  dr0gulus: strictly better sundial
[09:48:25]  bubbadoongai: for ages I thought kunai and shruiken were common, I was slamming common relic every time
[09:48:51]  dr0gulus: you are just very unlucky
[09:49:05]  bubbadoongai: we have shruiken at home (vajra)
[09:49:06]  moribund: 🤔
[09:49:47]  captainnoobzor: spent 7 minutes on floor 0
[09:49:53]  captainnoobzor: win chance already up by 20%
[09:50:27]  bubbadoongai: if you don't click on a floor, you can't lose
