# Start logging at 2023-07-30 12:47:16 CDT
[12:47:16] connected
[12:47:17] Message history service recovering, there may be gaps in the message history.
[12:50:46] Redbeardy_McGee is live!
[12:52:07]  captainfalcum: 2020Gift
[13:00:44]  moribund: FeelsBeardMan
[13:02:19]  skippygoober: https://www.honest-broker.com/p/panic-among-the-streamers Pogamid
[13:02:41]  skippygoober: yee
[13:03:13]  skippygoober: "Netflix could buy 10 top quality screenplays per year with the cash they’ll spend on that one job.  They must have big plans for AI."
[13:03:21]  skippygoober: Pogamid
[13:04:06]  skippygoober: I shoulda been a Ai / machine learning major Sadge
[13:04:18]  skippygoober: 900k plus stocks
[13:05:41]  surrealistic_ganerson: I mean where else would they come from? I guess another possibility is from deep within the Earth or maybe if more than 3 dimensions exist, or maybe teleporting but that would still count as space imo
[13:06:09]  skippygoober: next you have to replace the real human actors with Ai actors because a human reading an Ai script can feel the cognitive dissonance
[13:06:40]  surrealistic_ganerson: My take on the question of where aliens would come if they did
[13:06:53]  skippygoober: yeah it is all large language models at the moment but Ai right now is not generalized ai intelligence
[13:07:57]  moribund: I'm an alien.
[13:08:00]  surrealistic_ganerson: There's like a super small chance? not worth discussing but maybe possible
[13:08:10]  moribund: currently stuck in the first of nine ads Sadge
[13:08:22]  captainnoobzor: red birdy
[13:08:37]  surrealistic_ganerson: If there must be 2 there must be more
[13:08:55]  bunhara: you're talking to me
[13:09:11]  bunhara: no i just joined GIGACHAD
[13:09:34]  surrealistic_ganerson: ads on livestream platforms that stop the livestream are no bueno for real
[13:10:03]  surrealistic_ganerson: You get an ad for joining the stream too
[13:10:05]  bunhara: they probably caught that yeah
[13:10:10]  skippygoober: why don't they do like banner ads so you can see and hear the stream while the ad is a banner on the screen?
[13:10:19]  bunhara: @skippygoober they do
[13:10:22]  bunhara: judt not always
[13:10:25]  bunhara: idk why
[13:10:33]  captainnoobzor: on mobile i go to another stream then come back
[13:10:35]  bunhara: the video add are way more common, but sometimes you see banner ads
[13:10:42]  captainnoobzor: and sometimes it works sometimes it doesnt
[13:11:19]  bunhara: commercials shouldve been left to television
[13:11:32]  bunhara: why the fuck does a live stream need ad interruptions
[13:12:39]  shmooooz: Because they need a way to commercialize it :)
[13:13:01]  skippygoober: what sorts of ads does twitch use? I know they do it manually instead of relying on google or whatever
[13:13:03]  surrealistic_ganerson: Do you have an anger problem? Well, we have just the perfect solution. "Smash the Sentries" ™ a new approach towards getting rid of anger. ~might have side effects, consult with a doctor
[13:13:30]  captainnoobzor: it's fine if ads run when you go to the bathroom
[13:13:37]  bunhara: yeah planning your live programs AROUND the ads is fine
[13:13:39]  captainnoobzor: just kinda aids when it's random and you get 32 ads
[13:14:18]  bunhara: i guess you can feasibly plan your streams around ads, but idk it still feels awful
[13:14:40]  bunhara: i feel like streamers shouldnt have to put everything down for the sake of ads
[13:14:51]  captainnoobzor: spire streams are just podcasts anyway
[13:16:16]  bunhara: click claw
[13:16:28]  surrealistic_ganerson: @bunhara yeah, ads shouldn't be disruptive, but the problem is I guess they know that human psyche is more easily lured in by video + audio and not just banners or something, so full on distraction and watch our ad so you buy or product
[13:18:05]  captainnoobzor: i mean
[13:18:35]  captainnoobzor: watching twitch in my bed and seeing an ad is the easiest way for me to fall asleep
[13:19:20]  captainnoobzor: yeah i just turn off my phone
[13:19:34]  captainnoobzor: maybe ads are a good thing
[13:19:39]  surrealistic_ganerson: @captainnoobzor So that's the real strat, tell your viewers to go to sleep and put you on, go to sleep yourself and wake up with money
[13:20:08]  captainnoobzor: sleeping stream meta yeah
[13:20:33]  captainnoobzor: i mean there was that band who uploaded a 30 seconds track of just silence to spotify
[13:20:44]  captainnoobzor: and asked ppl to play it on repeat
[13:21:01]  surrealistic_ganerson: @captainnoobzor based
[13:21:32]  surrealistic_ganerson: unfocus the focus run
[13:22:04]  bunhara: i wish i could go to sleep and wake up with Money
[13:22:14]  surrealistic_ganerson: @bunhara moneyJAM
[13:22:19]  captainnoobzor: monkaS
[13:22:24]  bunhara: moneyJAM
[13:23:47]  surrealistic_ganerson: is there a reason why you wanna go for all for one here? sexy nun?
[13:24:45]  surrealistic_ganerson: sexy nunchak
[13:25:15]  surrealistic_ganerson: But how does all for one speak for focus?
[13:26:42]  surrealistic_ganerson: That sounds like you like all for one in general, more than just for this deck
[13:42:38]  bunhara: defect taking 18 turn 1 without boot sequence - the classic
[13:45:39]  sparklecrotchthottie: UM
[13:45:40]  moribund: catJAM
[13:45:44]  sparklecrotchthottie: why is this fucking strike green
[13:49:45]  sparklecrotchthottie: hyper beam more like hyper green
[13:49:47]  sparklecrotchthottie: am i right
[13:49:53]  sparklecrotchthottie: colon elle
[13:50:07]  sparklecrotchthottie: money got the same thing earlier
[13:50:16]  sparklecrotchthottie: along with a bottled coresurge previously
[13:51:46]  leprochauninja: why can't you get book of stabbing from cursed tome?
[13:52:51]  sparklecrotchthottie: feet relict
[13:53:49]  sparklecrotchthottie: this is a very sleepy defecc
[13:53:52]  sparklecrotchthottie: very sustain
[13:55:34]  sparklecrotchthottie: !sr https://www.youtube.com/watch?v=5IsSpAOD6K8
[13:55:34]  nightbot: @SparkleCrotchThottie -> "Talking Heads - Once in a Lifetime (Official Video)" by Talking Heads has been added to the queue in position #2
[13:57:23]  moribund: !sr SparkleCrotchThottie
[13:57:23]  nightbot: @moribund -> There was an error requesting the song. Error: no video found for that query
[13:57:28]  moribund: :(
[13:57:37]  moribund: upload your mixtape, @SparkleCrotchThottie
[13:58:36] DawalHS: Donated USD 5 to support The Trevor Project
[13:58:46]  moribund: pchOMD
[13:58:59]  dawalhs: Hey beardy, lovely to see you bro
