# Start logging at 2023-07-31 08:03:46 CDT
[08:03:46] Redbeardy_McGee is live!
[08:03:46] Monday, July 31, 2023
[08:04:24]  moribund: FeelsBeardMan
[08:35:02]  its_goddy: morning
[08:57:36]  nerdbusta1: What’s up beardy?
[08:58:21]  nerdbusta1: Robot CaitlynS
[08:58:49]  nerdbusta1: I’m hoping to pick something up here. My new thing is play a character until I win hen rotate
[08:59:07]  nerdbusta1: I’m on the robot merl61BiasedCogamid
[09:00:48]  zyzzyvivification: Don't die!
[09:07:35]  drunkendonky: Waste fire pot for dagger?
[09:08:03]  dr0gulus: waste strength pot for dagger
[09:08:23]  loganthebard: I’d want the fire pot for slavers more than str pot
[09:08:28]  drunkendonky: Idk I just always force infinites on watcher LUL
[09:11:21]  dr0gulus: seek first so you don't accidentally draw into your best card
[09:11:26]  dr0gulus: that would be bad
[09:13:14]  dr0gulus: punished
[09:15:54]  its_goddy: the more i play/watch, the more i'm convinced that the defect has to count the dead hands more than every other character
[09:15:59]  dr0gulus: softlocked
[09:16:03]  enkidu2: coolheaded + fission is draw 2 for 0?
[09:16:37]  its_goddy: i meme in xecnar's chat "just let defect see turn 3" so much because defect has so little mitigation to dead hands
[09:18:17]  its_goddy: feels like coolheaded, there may be an argument for sweep instead and save fission for a holo later
[09:19:57]  its_goddy: need to kill a slaver next turn
[09:20:00]  its_goddy: good luck :)
[09:20:31]  dr0gulus: my first thought is just streamline defend and glug a focus pot
[09:22:26]  its_goddy: yeah drog sounds right, opens holo->streamline for kill
[09:23:34]  its_goddy: do you see getting out if you don't kill a slaver turn 2 i think is the valid question
[09:28:14]  truesque: kil
[09:28:17]  truesque: gl beardy
[09:28:57]  dr0gulus: gl trusq
[09:29:06]  truesque: hellof5Crown
[09:29:06]  truesque: ty
[09:29:19]  dr0gulus: this seems pretty good
[09:29:31]  truesque: :D
[09:29:37]  truesque: I could never lose on the red guy
[09:29:50]  truesque: I have played 10 red guy runs in 18 months
[09:29:52]  truesque: that is surely enough
[09:30:01]  its_goddy: is trusque one syllable or two?
[09:30:07]  zyzzyvivification: Do it.
[09:30:14]  nerdbusta1: red guy is my favorite to play
[09:30:19]  nerdbusta1: Feel no brain
[09:30:33]  truesque: troosk
[09:30:38]  truesque: is a good word c:
[09:30:38]  its_goddy: i say true-esque in my head.
[09:30:42]  its_goddy: ok now corrected
[09:30:53]  dr0gulus: the way to pronounce it is how you pronounce it
[09:30:57]  truesque: yes :D
[09:31:00]  truesque: and I am happy about it
[09:31:00]  zyzzyvivification: PridePog
[09:31:26]  captainfalcum: trues q
[09:31:39]  truesque: someone said troosk
[09:31:40]  truesque: and I thought oh
[09:31:42]  truesque: that is so much better
[09:31:43]  truesque: thank you
[09:31:44]  dr0gulus: monkaS
[09:32:18]  truesque: hellof5Crown
[09:32:31]  captainfalcum: troosk is tissue pog champion
[09:33:02]  enkidu2: baalorClaw
[09:34:25]  truesque: silent stole all the skims and dressed them up as acros
[09:34:32]  truesque: in my last run
[09:34:41]  truesque: with 3 back to back natty acro+
[09:34:43]  dr0gulus: crazy how skim is worse than acro
[09:35:03]  dr0gulus: strictly
[09:35:31]  truesque: having the extra card in hand on the character with the gain 10 energy cards can be helpful
[09:35:57]  dr0gulus: holo snap?
[09:36:15]  dr0gulus: frozen core sucks
[09:36:35]  truesque: if we had cracked core the lightning could hit us for the puzzle
[09:37:11]  nerdbusta1: kil fat
[09:37:19]  dr0gulus: lightning should always hit the tallest enemy
[09:37:20]  dr0gulus: imo
[09:37:34]  truesque: holy
[09:37:42]  truesque: preserved insect would suck
[09:39:37]  zyzzyvivification: No, lightning needs to always hit a different enemy, because lightning never strikes the same place twice.
[09:39:49]  zyzzyvivification: Once you run out of enemies to hit you're done with lightning orbs.
[09:40:18]  zyzzyvivification: It's simple! Lightning doesn't care about humanity's dumb rules.
[09:40:18]  truesque: the lightning rules in spire are actually an easter egg no one has fully figured out
[09:40:18]  dr0gulus: thunderclap should be unplayable unless you evoked a lightning orb that turn
[09:40:20]  truesque: it's not really random
[09:40:28]  captainfalcum: !sr cardigans love fool audio
[09:40:28]  nightbot: @CaptainFalcum -> "Lovefool" by The Cardigans - Topic has been added to the queue in position #1
[09:40:37]  captainfalcum: !sr kiss me sixpence audio
[09:40:38]  nightbot: @CaptainFalcum -> "Kiss Me" by Sixpence None the Richer - Topic has been added to the queue in position #2
[09:41:42]  captainfalcum: moneym59JACKIE
[09:44:54]  captainfalcum: moneym59JAM
[09:48:03]  truesque: why did you not see runic capacitor in this shop
[09:49:20]  dr0gulus: scrape HOLY
[09:49:36]  truesque: if only scrape discarded the 0 cost cards so it'd work better with AFO
[09:51:03]  captainfalcum: shutup and cook @dr0gulus
[09:51:13]  captainfalcum: 👨‍🍳
[09:51:17]  truesque: yeah it is the same reason I don't like reboot
[09:51:28]  truesque: I don't want to bottom deck my echo form twice in the heart
[09:52:08]  truesque: I like it in hallways and it's good in act 4 t1 t2 often
[09:52:19]  truesque: but if it's deep it just shouldn't be played which feels bad
[09:52:21]  truesque: even if it's probably fine
[09:53:00]  truesque: scrape has the same downsides and much fewer of the upsides
[09:54:02]  sycocell: good morning beardy
[09:54:24]  stupidketchup: howdy! glgl stupid143Pride
[09:54:26]  sycocell: how's the roboting going
[09:54:54]  captainfalcum: catsup
[09:55:01]  stupidketchup: im good. yup. heart just kicked my butt and now im at gym
[09:55:20]  sycocell: not another 11 hour combat defect run NotLikeThis it's too soon!
[09:55:24]  muirthemne: brioBounce
[09:55:36]  truesque: DinoDance
[09:55:53]  muirthemne: DinoDance
[09:55:58]  sycocell: hey @truesque !
[09:56:07]  truesque: heyo! hellof5Flower
[09:56:55]  muirthemne: brioBounce DinoDance brioBounce
[09:57:15]  dr0gulus: dr0gulFruitRave
[09:57:20]  truesque: dr0gulFruitRave
[09:57:25]  muirthemne: dr0gulFruitRave
[09:57:42]  muirthemne: drog keep changing ur colors
[09:57:44]  muirthemne: i think
[09:57:51]  stupidketchup: bearpe1HypePear
[09:58:04]  muirthemne: whoa fruitrave emote
[09:58:07]  truesque: holy
[09:58:26]  dr0gulus: holly
[09:58:43]  dr0gulus: buddy holy
[09:59:21]  muirthemne: 🦗
[10:03:56]  stupidketchup: nice
[10:04:16]  captainfalcum: can someone link drog fruit rave for me
[10:04:36]  captainfalcum: por favor
[10:04:40]  dr0gulus: monkaS
[10:04:44]  captainfalcum: captain de cum
[10:04:48]  muirthemne: monkaS
[10:07:15]  dr0gulus: @CaptainFalcum https://www.twitch.tv/videos/1882694558?t=2h4m50s
[10:08:13]  sycocell: ^ this is content
[10:08:26]  muirthemne: sy1vieWOW
[10:08:31]  muirthemne: brioBounce DinoDance brioBounce
[10:09:48]  captainfalcum: is there an actual emote or was that a MEME. I'm on mobile :(
[10:09:54]  captainfalcum: dr0gulFruitRave  (?)
[10:10:18]  dr0gulus: its a fucking meme
[10:10:20]  dr0gulus: you got got
[10:10:34]  captainfalcum: no cum for you
[10:10:38]  muirthemne: PrideLaugh
[10:10:44]  stupidketchup: tragic
[10:11:31]  captainfalcum: dr0g epic memed me and now me life's in dark shambles
[10:11:59]  muirthemne: cakeumNOOO
[10:14:49]  muirthemne: (Audio for portions of this video has been muted as it appears to contain copyrighted content owned or controlled by a third party.)
[10:15:10]  dr0gulus: third party???
[10:15:16]  dr0gulus: i wasn't even invited to the first two
[10:15:18]  dr0gulus: Sadge
[10:15:26]  captainfalcum: I heard it on my phone
[10:15:32]  captainfalcum: 🤔
[10:15:46]  muirthemne: lol it just shows up as a warning for me on desktop but the music still there
[10:15:57]  dr0gulus: its other parts of the vod
[10:16:00]  dr0gulus: song requests during spire
[10:16:10]  muirthemne: monkaS
[10:16:26]  muirthemne: dr0gulDMCA
[10:16:32]  captainfalcum: HahaThink
[10:16:39]  dr0gulus: good thing i turned off the thing that separates music in the vods
[10:16:46]  dr0gulus: otherwise i would have been bouncing around in silence like a moron
[10:17:10]  muirthemne: I muted the video to make it look like you are :)
[10:17:30]  dr0gulus: but then you miss me breathing loudly into the mic
[10:17:42]  muirthemne: cakeumNOOO
[10:17:59]  muirthemne: (I turn my head away from the mic to breath)
[10:21:47]  truesque: me
[10:22:05]  truesque: ah
[10:22:12]  truesque: my chat was being weird :D
[10:23:06]  truesque: @dr0gulus will you tell dr1g that you were an actor in the fruit rave videos
[10:23:15]  truesque: and show him that vod as evidence when he is a toddler
[10:23:23]  arkthepieking: Mornin'! How's runs going?
[10:23:56]  dr0gulus: yes
[10:24:16]  dr0gulus: gaslighting your kids is essential to being a good parent
[10:24:29]  truesque: is that what they taught you
[10:24:34]  dr0gulus: yes :D
[10:24:36]  stupidketchup: @dr0gulus oof. relatable
[10:24:36]  truesque: when are you doing the comprehensive parenting lessons stream
[10:24:50]  dr0gulus: Soon
[10:24:53]  truesque: Soon
[10:25:09]  stupidketchup: frozen core is so fun
[10:25:09]  arkthepieking: Aww I'll try to shift some of my good luck to you. Did a boss swap on Defect just now and the game saw fit to give me 2 hyper beams, equilibrium, and a genetic algorithm, the run basically won itself lmao
[10:27:09]  arkthepieking: @stupidketchup Yeah Frozen is dope
[10:27:11]  muirthemne: monkaS
[10:28:41]  arkthepieking: Reboot is my favorite underrated card that's still actually kind of bad
[10:29:06]  stupidketchup: ooo modest mouse popcor41Jammin
[10:29:17]  muirthemne: brioRave
