# Start logging at 2023-08-03 08:55:58 CDT
[08:55:58] connected
[09:05:58] Redbeardy_McGee is live!
[09:05:58] 22 raiders from justzul have joined!
[09:06:00]  bunhara: go live
[09:06:08]  redbeardy_mcgee: someone go live
[09:06:42]  justzul: It's (non tilting) StS time!
[09:06:45]  bunhara: OOOOBANG
[09:06:54]  redbeardy_mcgee: you got here so fast zul
[09:06:55]  redbeardy_mcgee: i'm not ready
[09:07:21]  justzul: That's what she said NotLikeThis BibleThump
[09:07:29]  de5ir3: hahahaha
[09:07:30]  redbeardy_mcgee: say it ain't so zul
[09:07:36]  bunhara: !sr 93 til infinity
[09:07:37]  nightbot: @Bunhara -> "Souls of Mischief | Red Bull Spiral Freestyle Over "93 'Til Infinity"" by Red Bull 1520 has been added to the queue in position #1
[09:07:48]  redbeardy_mcgee: red bull spiral freestyle over
[09:07:52]  bunhara: !sr somebody told me the killers
[09:07:53]  nightbot: @Bunhara -> "Somebody Told Me - The Killers" by HighQualityMusic has been added to the queue in position #2
[09:07:55]  domicuk: DinoDance DinoDance
[09:08:05]  redbeardy_mcgee: hello @De5ir3
[09:08:08]  redbeardy_mcgee: hello @domicuk
[09:08:12]  redbeardy_mcgee: hello @justzul
[09:08:17]  redbeardy_mcgee: (hello bun)
[09:08:30]  bunhara: (hello redbuddy)
[09:09:03]  justzul: I'm gonna go cool myself off and head to bed. GLHF on your run(s)!
[09:09:09]  bunhara: wait a fucking minute
[09:09:11]  bunhara: whay is this
[09:09:12]  redbeardy_mcgee: ty <3
[09:09:20]  bunhara: wtf is a red bull remix LUL
[09:09:25]  truesque: hellof5Flower kil
[09:09:56]  bunhara: !sr https://youtu.be/fXJc2NYwHjw
[09:09:56]  nightbot: @Bunhara -> "Souls Of Mischief - 93 'Til Infinity" by SoulsOfMischiefVEVO has been added to the queue in position #1
[09:10:18]  bunhara: wait this ines better
[09:10:22]  bunhara: !songs remove 1
[09:10:22]  nightbot: @Bunhara -> The song has been removed.
[09:10:29]  bunhara: !sr https://youtu.be/YABLsFK8gjY
[09:10:29]  nightbot: @Bunhara -> "Soul Of Mischief - 93 Til infinity" by J has been added to the queue in position #1
[09:10:45]  bunhara: catJAM
[09:11:08]  bunhara: idk what tf this song id actually about but i choose to believe its a transmasc anthem
[09:11:43]  bunhara: hello
[09:11:55]  truesque: Hello :D
[09:13:31]  bunhara: WIDECATJAM
[09:13:31]  nightbot: WARNING: This emote is unlisted. Either it hasn't yet been confirmed by a moderator, or the moderation team chose not to confirm this emote. As a result, we cannot guarantee it is safe to show on a livestream.
[09:13:34]  bunhara: catHAM
[09:20:38]  bunhara: DinoDance
[09:21:53]  truesque: Free trial expired
[09:22:05]  bunhara: how much is the paid trial
[09:22:29]  bunhara: 15 minutes is generous for mobile games
[09:22:45]  bunhara: 5 clicks of game, now watch this ad please
[09:23:12]  bunhara: beardy shut the fuck up
[09:23:17]  bunhara: pls stop singing
[09:23:37]  bunhara: !sr terraria cave music
[09:23:37]  nightbot: @Bunhara -> "Terraria Music - Underground" by Lhiandrow has been added to the queue in position #1
[09:24:45]  bunhara: slay the spire should have ads
[09:24:52]  bunhara: ad after every combat
[09:26:33]  bunhara: theres this new game on steam thats basically just a compilation of those shitty games from the mobile game afs
[09:26:45]  bunhara: the name is really fucking long
[09:26:53]  bunhara: yeah LUL
[09:29:06]  bunhara: @truesque what cards on ironclad suck in jaw worm for silent
[09:29:24]  truesque: monkaS
[09:29:34]  truesque: In my understanding ironclad owns the jaw worm
[09:29:39]  truesque: At least base deck
[09:31:05]  bunhara: probably not
[09:31:10]  bunhara: its different yeah
[09:31:21]  bunhara: transforms are seeded in their own way
[09:37:12]  bunhara: xecnar's been thinking about how much you're allowed to get away with no damage on clad recently
[09:37:22]  bunhara: playing more like watcher, being more strict on what cards you add
[09:37:33]  bunhara: it reminded me of when youbwere experimenting with that kinda play style
[09:37:38]  bunhara: yeah basically
[09:37:40]  truesque: after adding some damage
[09:37:59]  truesque: it seems like xec will click one damage card and say ok that's enough
[09:38:17]  bunhara: yeah thats the part he doesnt really care about - how often you might be able to force a shitty inf
[09:39:42]  bunhara: clad is so funny
[09:39:59]  bunhara: in a card game, its focal character's olaystyle revolves around saying fuck cards
[09:39:59]  dr0gulus: @bunhara didn't lifecoach do this for a while
[09:40:06]  truesque: I wasn't watching much xec when he was doing his 100 clad
[09:40:10]  bunhara: @dr0gulus i dont know GIGACHAD
[09:40:17]  dr0gulus: i remember runs where he skipped tons of stuff in act 1
[09:40:24]  dr0gulus: the only card he seemed to like was iron wave
[09:40:25]  dr0gulus: LUL
[09:40:40]  truesque: xec and lc both love iron wave
[09:40:41]  truesque: holy
[09:40:48]  bunhara: its no coincidence
[09:40:51]  bunhara: iron wave owns
[09:40:52]  dr0gulus: i love iron wave too now
[09:41:05]  truesque: I'm an ironwave+ and iron wave with relics lover
[09:41:17]  truesque: but I did take it and upgrade it in act 2 in my last run
[09:41:49]  bunhara: i just take it and dont care if its green or will ever be green in act 1
[09:41:50]  truesque: elite fight
[09:41:51]  truesque: its here
[09:42:20]  bunhara: any 3 extra enjoyers
[09:42:30]  bunhara: shockwave is like really big iron wave
[09:42:32]  dr0gulus: getting extra is always good
[09:42:56]  dr0gulus: !steak
[09:43:15]  moribund: FeelsBeardMan
[09:43:28]  bunhara: !sr https://youtu.be/AmC9SmCBUj4
[09:43:29]  nightbot: @Bunhara -> "Gordon Ramsay's ULTIMATE COOKERY COURSE: How to Cook the Perfect Steak" by Hodder Books has been added to the queue in position #1
[09:43:32]  bunhara: !skip
[09:43:37]  bunhara: !songs skip
[09:43:37]  nightbot: @Bunhara -> "Janis Joplin - Me And Bobby McGee (Audio)" by JanisJoplinVEVO has been skipped.
[09:43:38]  dr0gulus: thank you
[09:43:41]  dr0gulus: wow
[09:43:46]  dr0gulus: you are just fucking everything up
[09:43:47]  dr0gulus: aren't you
[09:43:54]  bunhara: wow
[09:43:57]  bunhara: arent i
[09:44:01]  dr0gulus: : l
[09:44:26]  bunhara: let the pan do the work
[09:44:42]  bunhara: that layer of fat on the back fo the sirloin
[09:44:46]  bunhara: that hot fat
[09:45:04]  bunhara: this is what you get for taking removed
[09:45:09]  bunhara: events*
[09:45:13]  truesque: merchant is such a dick
[09:45:15]  dr0gulus: thanks for following bunhara
[09:45:25]  bunhara: thanks for following bunhara
[09:45:33]  bunhara: i appreciate it
[09:45:34]  truesque: why didn't neow give you 250 gold
[09:45:35]  bunhara: so much
[09:45:37]  bunhara: thank you
[09:45:46]  bunhara: @truesque she took all our gold in the divorce
[09:45:54]  truesque: SadSlime
[09:46:01]  truesque: I would never divorce neow
[09:46:25]  bunhara: we didnt
[09:46:28]  bunhara: she divorced us
[09:46:32]  truesque: WIDESADGE
[09:47:16]  bunhara: no elite clad sample?
[09:47:31]  truesque: free
[09:47:34]  truesque: literally free
[09:47:44]  bunhara: whats the worst that could happen
[09:47:46]  dr0gulus: its only 35%
[09:47:54]  truesque: !info 35%
[09:48:07]  truesque: it gives you potion and you get to take burning
[09:48:08]  bunhara: 35% sounds like a dog whistle
[09:48:15]  dr0gulus: Top stories Morningstar A Wide-Moat Dividend Stock to Buy That's 35% Undervalued 22 hours ago USNI News 13th MEU Pacific Deployment Expanded Marine F-35 Operations, Tested Contested Logistics,
[09:48:27]  dr0gulus: monkaS
[09:48:34]  truesque: Wide-Moat Dividend Stock
[09:48:36]  truesque: invest in moats
[09:48:37]  dr0gulus: WIDE
[09:48:39]  truesque: I want to invest in moats
[09:49:01]  dr0gulus: i wonder how closely i live to beardy
