# Start logging at 2023-08-05 08:15:55 CDT
[08:15:55] connected
[08:20:25] Redbeardy_McGee is live!
[08:24:40]  captainfalcum: Go live
[08:40:21]  phrogamid: bready dropWave
[08:40:56]  phrogamid: i need to go out and buy a raincoat, but it's raining outside dropHmm
[08:42:46]  phrogamid: 14 damage for a mango let's go
[08:43:29]  phrogamid: Prayge
[08:45:32]  dr0gulus: !steal
[08:45:35]  dr0gulus: !steak
[08:45:45]  captainfalcum: !steam
[08:46:16]  captainfalcum: !exclamationpoint
[08:47:56]  phrogamid: infinite starter kit
[08:50:29]  tneca: easy sneaky/eviscerate after the next fight?
[08:50:55]  tneca: I look tools before Nob
[08:51:00]  tneca: like
[08:53:46]  dr0gulus: free key
[08:54:20]  dr0gulus: you can ALWAYS key next chest
[08:55:00]  dr0gulus: gg
[08:56:28]  dr0gulus: exordium wildlife is loing
[08:58:57]  dr0gulus: deflect to complete the archetype
[09:00:18]  dr0gulus: storm of steel though
[09:00:41]  dr0gulus: better blade dance
[09:18:42]  moribund: FeelsBeardMan
[09:21:52]  captainfalcum: infinite
[09:32:36]  tneca: not the worst pain with all your discard
[09:37:13]  moribund: ads WutFace
[09:37:28]  captainfalcum: sad
[09:39:39]  moribund: clang
[09:51:53]  icycurves6_9: is a shiv deck good on higher ascensions?
[09:52:31]  dr0gulus: beardy is playing a shiv deck right now (blade dance) and its doing fine
[10:06:59]  breakerstrike: Hello, do you think pvp would be good on this game?
[10:10:37]  breakerstrike: How many hours can you do on this game?
[10:11:19]  breakerstrike: is fun? maybe on switch or steam?
[10:12:08]  breakerstrike: without the mods still fun?
[10:14:16]  breakerstrike: thnx =]
[10:16:44]  luminessen: !pronouns
[10:16:44]  nightbot: Automatically share your pronouns as a chat badge: https://pronouns.alejo.io/ -- Don't forget the extension for Firefox ( https://pronouns.alejo.io/firefox ) or Chrome ( https://pronouns.alejo.io/chrome )!
[10:19:53]  moribund: where letter opener
[10:25:49]  breakerstrike: is this full game or early access?
[10:26:38]  moribund: what?
[10:26:43]  moribund: Defect is... finished?
[10:26:48]  moribund: surely that character is still early access
[10:28:46]  breakerstrike: like how many hours can you do on this game? any boss or enemy is different?
[10:29:10]  breakerstrike: okay
[10:33:43] 26 raiders from justzul have joined!
[10:34:09]  justzul: Act 4 Defect
[10:34:12]  justzul: You good?
[10:34:27]  eranrefael: Malding do you see that relic? @justzul
[10:34:47]  justzul: lmao no. Dome did it's job. We just lost the 50/50
[10:35:06]  eranrefael: PETTHEMERCHANT
[10:35:59]  justzul: Nah it's not even that. We just drew like absolutely garbage vs the Heart.
[10:36:02]  justzul: LMAO yes
[10:36:14]  justzul: !youtube
[10:36:19]  eranrefael: moneyJAM we actually used Smoke Bomb at the last run 💣 💣 💣
[10:37:14]  eranrefael: lagaJAM
[10:37:32]  eranrefael: yeah it was great run
