# Start logging at 2023-08-10 08:02:39 CDT
[08:02:39] disconnected
[08:02:39] Thursday, August 10, 2023
[08:02:39] Server connection timed out, reconnecting
[08:02:41] connected
# Start logging at 2023-08-10 08:16:17 CDT
[08:16:17] connected
[08:22:17] Redbeardy_McGee is live!
[08:29:54]  moribund: FeelsBeardMan
[08:30:02]  moribund: ads Sadge
[08:31:31]  moribund: FeelsGoodMan
[08:32:34]  moribund: dkShame
[08:32:53]  moribund: doing fine
[08:33:24]  moribund: I've been playing the Outer Wilds DLC
[08:34:04]  moribund: It released a couple of years ago. I bought it last year and decided to play it because Byron started playing it
[08:34:37]  moribund: very good. I reached a significant area (I think) this morning before work
[08:35:12]  moribund: I went to bed lvery early so I got up early, too
[08:35:24]  moribund: normally I roll out of bed and start working right away
[08:37:25]  moribund: I got pinged so I don't know if you said anything
[08:37:28]  moribund: (to me)
[08:37:30] 63 raiders from moneymoneyloot have joined!
[08:37:30]  captainfalcum: moneym59JACKIE
[08:37:35]  apneaa: fucking
[08:37:36]  moribund: moneyJAM moneyJAM moneyJAM moneyJAM moneyJAM moneyJAM
[08:37:36]  nerdbusta1: I am raiding
[08:37:38]  apneaa: nobbers and shit
[08:37:39]  apneaa: bwam
[08:37:44]  moneymoneyloot: bearding
[08:37:55]  moneymoneyloot: easy
[08:38:07]  moneymoneyloot: ended on defect and clad win yea
[08:38:30]  moneymoneyloot: nah i died 3 times in act 4 first 3 runs
[08:38:39]  moneymoneyloot: not a super pog day
[08:38:43]  moneymoneyloot: but ending on wins cool
[08:38:55]  moribund: act 4 is cringe
[08:39:12]  moneymoneyloot: 9x 2 streaks
[08:39:15]  moneymoneyloot: easy
[08:39:22]  captainfalcum: streaking
[08:39:26]  captainfalcum: moneym59JACKIE
[08:39:41]  moribund: 18 one streaks challenge
[08:39:50]  moneymoneyloot: like 1000 probably
[08:40:09]  moneymoneyloot: true
[08:40:10]  captainfalcum: 69
[08:40:14]  drdeathnite: every day
[08:40:17]  drdeathnite: imagine not losing
[08:40:20]  drdeathnite: can't be me
[08:40:30]  moribund: I hate choose a rare for Defect
[08:40:33]  moneymoneyloot: rare is okayish but lose all gold is gigacringe
[08:40:40]  nerdbusta1: Defect loves money more than rare cards I think
[08:40:52]  moneymoneyloot: 7 max is pog fucking champion
[08:41:12]  drdeathnite: 7hp is basically a relic
[08:41:25]  moneymoneyloot: colorless is not terrible but if u skip you'll wish you had 7 max
[08:41:38]  moneymoneyloot: shackles and instincts and blind are great
[08:41:42]  nerdbusta1: defect is a colorless card enthusiast
[08:41:50]  moneymoneyloot: panic button good
[08:41:59]  moneymoneyloot: don't love the offensive ones for robert
[08:42:03]  apneaa: defect colorless is goood
[08:42:05]  apneaa: gooooooood
[08:42:29]  apneaa: wether it's better than loose all gold for a rare or a boss swap
[08:42:29]  captainfalcum: any astrological date enjoyers
[08:42:31]  apneaa: no idea
[08:42:34]  apneaa: but it's good
[08:42:36]  moribund: have you considered the abandon run option
[08:42:38]  nerdbusta1: max hp seems good if we plan on going for that super aggressive path and resting
[08:42:57]  moneymoneyloot: fr I think 7 max is underrated and underpicked
[08:43:00]  moneymoneyloot: it's boring but good
