# Start logging at 2023-08-13 09:19:13 CDT
[09:19:13] connected
[09:19:15] Message history service recovering, there may be gaps in the message history.
[09:21:13] Redbeardy_McGee is live!
[09:21:32]  moneymoneyloot: first
[09:21:35]  moneymoneyloot: Adge
[09:22:13]  moneymoneyloot: AlienDance
[09:25:52]  moneymoneyloot: amouranth
[09:31:01]  moneymoneyloot: anyone feeling the need to ensure stability for our nation?
[09:31:29]  moneymoneyloot: bearding
[09:31:41]  moneymoneyloot: LUL
[09:31:56]  moneymoneyloot: i'll brb papes girl is almost here
[09:35:47]  moneymoneyloot: stabbing
[09:36:23]  moneymoneyloot: upgrade nooch from whale eh
[09:36:25]  moneymoneyloot: that bad?
[09:36:54]  moneymoneyloot: weak is pretty good
[09:37:24]  moneymoneyloot: all these other upgrades are blowers
[09:37:36]  moneymoneyloot: oh
[09:37:52]  moneymoneyloot: im a defend transer here
[09:38:41]  moneymoneyloot: i can see it but defend minus is so pukeamid
[09:38:48]  moneymoneyloot: especiallly into not guardian
[09:39:51]  moneymoneyloot: it do be guaranteeing sneaky gremlin and sometimes 1shotting fat
[09:40:00]  moneymoneyloot: and good for 3 louse like you said
[09:40:12]  moneymoneyloot: yeah fat can have up to 17
[09:40:22]  moneymoneyloot: so it's it's like 5050
[09:41:43]  moneymoneyloot: not necessarily if green key can be laga
[09:41:54]  moneymoneyloot: but we boingin
[09:42:18]  moneymoneyloot: love solving laga
[09:42:33]  moneymoneyloot: with the backstab+ mostly solving the other 2
[09:42:54]  moneymoneyloot: and ghost solved
[09:43:26]  moneymoneyloot: cringfinite blades improving your sentries
[09:43:45]  moneymoneyloot: but giga cringe later esp if you don't get shiv synergies
[09:45:35]  moneymoneyloot: nooch+ gaming
[09:46:41]  moneymoneyloot: greedy bastard asking for 143
[09:46:51]  moneymoneyloot: horning
[09:47:01]  moneymoneyloot: DEGG
[09:47:16]  moneymoneyloot: horning here tho
[09:47:18]  moneymoneyloot: poggers
[09:49:23]  moneymoneyloot: more like idiot gang
[09:49:42]  kurol__: !sr cheg0
[09:49:43]  nightbot: @KuroL__ -> There was an error requesting the song. Error: video too short (30 sec min)
[09:49:49]  kurol__: Wat
