# Start logging at 2023-08-20 10:58:08 CDT
[10:58:08] connected
[11:01:08] Redbeardy_McGee is live!
[11:13:12]  moribund: FeelsBeardMan
[11:14:05]  moribund: muted or quiet?
[11:26:39]  moneymoneyloot: yoing
[11:27:11]  moneymoneyloot: plz pray
[11:29:06]  moneymoneyloot: yeah
[11:29:12]  moneymoneyloot: i can hear u
[11:32:37]  tubbiekim: !Sr misery business
[11:32:38]  nightbot: @tubbiekim -> "Paramore: Misery Business [OFFICIAL VIDEO]" by Paramore has been added to the queue in position #1
[11:38:13]  moribund: moneym59SHAKE
[11:40:16]  moneymoneyloot: !sr bella bassi
[11:40:16]  nightbot: @moneymoneyloot -> "Bassi Maestro - Bella Bassi" by BassiMaestro2010 has been added to the queue in position #3
[11:43:49]  moribund: 2020Shred
[11:45:22]  moribund: moneym59MOZ
[11:47:23]  moneymoneyloot: moneym59MOZ
[11:53:25]  kakistocraces: !songlist
[11:53:25]  nightbot: @kakistocraces -> The song list for this channel is available at https://nightbot.tv/t/redbeardy_mcgee/song_requests
[11:53:44]  kakistocraces: hey ! hope it's going well today. thanks for helping me.
[11:54:45]  kakistocraces: rupture gg is my new mantra
[11:55:20]  moneymoneyloot: rupture gg
[11:55:31]  tubbiekim: !Sr broken bells Greta van fleet
[11:55:32]  nightbot: @tubbiekim -> "Greta Van Fleet - Broken Bells (Audio)" by Greta Van Fleet has been added to the queue in position #3
[12:03:53]  asukii314: moldy spaghetti my favourite
[12:04:08]  asukii314: tyyyyyy
[12:05:41]  asukii314: yeah why did act 2 get like all the good events anyway
[12:07:00]  asukii314: eh depends on the run imo, I'd never go all in on event farming but sometimes advanced hallways will wreck you and something like apps or whatever would be incredible
[12:07:27]  asukii314: it's spire, everything depends forever lol
[12:07:48]  asukii314: and also the best part of spire, keeps you on your toes
[12:08:01]  moribund: Adge
[12:08:47]  asukii314: ad done for me
[12:08:53]  sparklecrotchthottie: RAAAAAAAAAAAAAAAAAAAAAAAANNNNNGGGG
[12:09:24]  asukii314: 45 seconds
[12:09:29]  sparklecrotchthottie: how have you not heard of greta van fleet yet
[12:09:34]  sparklecrotchthottie: poggers
[12:09:45]  sparklecrotchthottie: LMAOOOOOO
[12:09:47]  sparklecrotchthottie: yeah
[12:09:49]  sparklecrotchthottie: we get it
[12:10:07]  sparklecrotchthottie: this albums probably the best
[12:10:43]  asukii314: what kind of music are you usually into?
[12:10:52]  moribund: commercial jingles
[12:11:23]  moribund: I install content blockers so I only get ads
[12:11:29]  asukii314: much appreciated, friend
[12:11:40]  asukii314: truly
[12:12:25]  moribund: Bezos is the hardest working man in America
[12:14:12]  moribund: if you worked harder you would have more money 4Head
[12:14:19]  moribund: just ask Bezos
[12:15:26]  glint0: If you ate more you would have more you
[12:15:39]  asukii314: feed moment
[12:15:41]  glint0: <3
[12:16:22]  asukii314: like 115hp is a pretty good amount of you to have tbh
[12:16:41]  glint0: Sadge
[12:17:01]  asukii314: F
[12:17:13]  asukii314: cr8rcrRIP
[12:17:30]  moribund: !declare
[12:17:40]  asukii314: I appreciate you throwing this one so I could see the start of a fresh run
[12:18:03]  asukii314: I'm sure you totally would have won if you weren't doing me the favour here
[12:20:11]  asukii314: yeahhhhhhh
[12:20:54]  asukii314: damn lmao
[12:21:06]  asukii314: and with question card too (albeit late)
[12:21:25]  asukii314: fair fair
[12:21:35]  moneymoneyloot: !sr prince daddy and the hyena black mold
[12:21:35]  nightbot: @moneymoneyloot -> "Prince Daddy & The Hyena "Black Mold"" by Pure Noise Records has been added to the queue in position #2
[12:21:45]  asukii314: sometimes spire is just salty
[12:22:11]  moneymoneyloot: 4 defants 2 imperv don't get it done unfortunately
[12:22:41]  asukii314: yeah it's solid pieces waiting for a deck to spontaneously form around them like usually happens somewhere in and around act 2
[12:23:00]  moneymoneyloot: LUL
[12:23:37]  moneymoneyloot: im gonna give that phrog a little kiss and throw it into the pong
[12:23:39]  moneymoneyloot: pond
[12:23:46]  moribund: pong
[12:23:51]  asukii314: pong
[12:24:03]  moneymoneyloot: pong.com
[12:24:15]  moneymoneyloot: the witch
[12:24:17]  stupidketchup: hello
[12:24:22]  asukii314: robot hurts my brain
[12:24:24]  moneymoneyloot: fart witch
[12:24:32]  moribund: stinky lady
[12:24:46]  asukii314: maybe yell at them a bit too
[12:25:08]  moneymoneyloot: !piercingwail
[12:25:16]  moneymoneyloot: yell at them until they die from the stink
[12:25:21]  asukii314: I like how the character with the piercing wail card is literally the one named silent
[12:25:41]  asukii314: just yelling silently
[12:26:29]  moneymoneyloot: 6 upgrades
[12:26:32]  moneymoneyloot: pog
[12:26:50]  moribund: OOOOBANG
[12:27:37]  moneymoneyloot: plz save
[12:27:43]  moribund: !piercingwail
[12:28:49]  moribund: his cousins in act 3 are going to make you pay for that
[12:28:57]  moneymoneyloot: monkaS
[12:29:36]  asukii314: one dagger throw is totally enough to greed an eviscerate right
[12:29:41]  asukii314: asking for a friend
[12:29:58]  moneymoneyloot: OOOOBANG
[12:30:30]  moneymoneyloot: 1 cost 21 dmg where do i sign up
[12:30:43]  asukii314: I mean I'd click it too lol
[12:30:54]  asukii314: but I don't always make good decisions
[12:30:59]  asukii314: asukii1Shrug
[12:31:37]  moneymoneyloot: this god damn lobster enemy is going to blast you tony
[12:31:46]  asukii314: poorly laid well laid plans
[12:31:59]  moribund: why is this lobster hiding inside an ocarina
[12:32:08]  moneymoneyloot: LUL
[12:32:21]  asukii314: he got drunk on lagavulin
[12:32:41]  moneymoneyloot: looks like a breeder, does she have a notch?
[12:32:56]  moneymoneyloot: giver her a notch, a little snack and throw her back in the sea
[12:33:36]  leahswicked: Don't forget to remove her barnacles too!
[12:34:01]  leahswicked: Heyo red!!
[12:34:13]  leahswicked: I'm just chilling
[12:34:31]  asukii314: aoa de-costs eviscerate and will always cooperate
[12:34:52]  asukii314: it has never discarded eviscerate itself, that would be rude
[12:35:10]  moneymoneyloot: need a wraith form to guarantee it wont discard evis
[12:35:21]  jankshank: Event is likely a combat because you just had a shrine event right?
[12:35:26]  asukii314: also removing the regret sooner
[12:36:33]  asukii314: correlated randomness NotLikeThis
[12:37:08]  asukii314: is that a mod that removes the correlated parts
[12:37:21]  asukii314: the rng fix thing?
[12:38:25]  asukii314: oh pog
[12:38:27]  jankshank: Shrine events are just a hidden mechanic though right, not part of the correlated randomness issue?
[12:39:07]  sparklecrotchthottie: !sr https://www.youtube.com/watch?v=FRihbH-Mqo4
[12:39:07]  nightbot: @SparkleCrotchThottie -> "PVRIS - Empty" by riserecords has been added to the queue in position #3
[12:39:11]  jankshank: I don’t recall either, it’s been a while LUL
[12:39:14]  moneymoneyloot: how are you this broke after +275
[12:39:26]  moneymoneyloot: oh u snap clicked eye mb
[12:39:30]  moneymoneyloot: didn't even see
[12:39:34]  sparklecrotchthottie: MONEY plz do not shame ones economic decisions
[12:39:41]  sparklecrotchthottie: plz b considerate
[12:39:47]  sparklecrotchthottie: : l
[12:39:48]  moribund: @sparklecrotchthottie shut up, pleb
[12:39:57]  moneymoneyloot: sparkle plz wash the taki dust off ur balls
[12:40:02]  sparklecrotchthottie: LUUUULLLL
[12:40:25]  sparklecrotchthottie: are you supposed to iron the balls to get the wrinkles out of them money>?
[12:40:25]  moneymoneyloot: plz pray 🙏
[12:40:26]  sparklecrotchthottie: : l
[12:40:35]  moribund: @sparklecrotchthottie yes
[12:40:40]  moribund: highest heat option available
[12:40:48]  sparklecrotchthottie: actual378Blushy  blessy
[12:41:15]  sparklecrotchthottie: so alch for 85?
[12:41:18]  sparklecrotchthottie: nice
[12:41:39]  sparklecrotchthottie: RISKING
[12:41:54]  sparklecrotchthottie: HARMONICAING
[12:42:38]  moneymoneyloot: !sr attic abasement change machine
[12:42:38]  nightbot: @moneymoneyloot -> "Attic Abasement - Change Machine" by Jesus Christ has been added to the queue in position #4
[12:42:47]  moneymoneyloot: Jesus Christ
[12:42:57]  asukii314: yeah p sure you bought the flex pot
[12:43:12]  sparklecrotchthottie: Jesus Christ born on Crimmus day
[12:43:16]  jankshank: Used flex on Laga to finish it from 45
[12:43:29]  moneymoneyloot: sparkle read my song requet
[12:43:41]  sparklecrotchthottie: BHAHAHA
[12:43:42]  sparklecrotchthottie: okok
[12:43:44]  jankshank: Think so yeah
[12:43:45]  moneymoneyloot: LUL
[12:43:46]  moribund: Jesus Christ uploading YouTube videos from beyond the grave
[12:43:54]  asukii314: hallelujah
[12:43:58]  sparklecrotchthottie: THE BOSHUN RUN
[12:44:00]  moribund: checkmate, atheists
[12:44:07]  moneymoneyloot: amen
[12:44:12]  moribund: Prayge
[12:44:13]  sparklecrotchthottie: WE MUST REVIVE THE CHRIST MAN WITH OUR BOSHUNS
[12:45:03]  sparklecrotchthottie: give us ur best wail
[12:46:40]  asukii314: with a double glug it is but yikes
[12:47:01]  asukii314: thus the yikes lol
[12:47:24]  sparklecrotchthottie: youve been THUS'd upon, beardy
